product_id,product_name,barcode,image_url,source,confidence,status
22,مثلث لافاش8ق,3073781205114,https://images.openfoodfacts.org/images/products/307/378/120/5114/front_es.4.400.jpg,OpenFoodFacts-BC,97,found
23,مثلث لافاش 16ق,,https://f.nooncdn.com/mpcms/EN0003/assets/76f12a04-01d4-4796-a157-f472dc51f568.png,Noon-EG,78,found_by_name
24,مثلث مزارع دينا 8ق,6224000432201,https://images.openfoodfacts.org/images/products/622/400/043/2201/front_en.4.400.jpg,OpenFoodFacts-BC,97,found
18,مثلث مراعي 8ق,6281007035378,https://eg.jumia.is/cms/Home_26/Stickybanner/1170D60.png,Jumia-EG,75,found_by_name
20,مثلث ميلكانا سبورتي 8ق,6223001080954,https://eg.jumia.is/cms/Home_26/Stickybanner/1170D60.png,Jumia-EG,75,found_by_name
27,تونه صن شاين قطع,6223000717431,https://images.openfoodfacts.org/images/products/622/300/071/7431/front_ar.12.400.jpg,OpenFoodFacts-BC,97,found
21,مثلث ميلكانا 8ق,6223001080008,https://f.nooncdn.com/mpcms/EN0003/assets/76f12a04-01d4-4796-a157-f472dc51f568.png,Noon-EG,78,found_by_name
17,مثلث ميلكانا  سبورتي 32ق,6223001080916,https://f.nooncdn.com/mpcms/EN0003/assets/76f12a04-01d4-4796-a157-f472dc51f568.png,Noon-EG,78,found_by_name
19,مثلث كيري 8ق,3073781129229,https://f.nooncdn.com/mpcms/EN0003/assets/76f12a04-01d4-4796-a157-f472dc51f568.png,Noon-EG,78,found_by_name
25,مثلث مزارع دينا 16ق,6224011439442,https://f.nooncdn.com/mpcms/EN0003/assets/76f12a04-01d4-4796-a157-f472dc51f568.png,Noon-EG,78,found_by_name
33,صن شاين ماكريل 145g,6223000710647,https://images.openfoodfacts.org/images/products/622/300/071/0647/front_en.4.400.jpg,OpenFoodFacts-BC,97,found
30,تونه صن شاين مفتت حار,6223000710067,https://f.nooncdn.com/mpcms/EN0003/assets/76f12a04-01d4-4796-a157-f472dc51f568.png,Noon-EG,78,found_by_name
29,تونه صن شاين قطعه واحده,6223000717455,https://eg.jumia.is/cms/Home_26/Stickybanner/1170D60.png,Jumia-EG,75,found_by_name
28,تونه صن شاين فصوص,6223000711323,https://f.nooncdn.com/mpcms/EN0003/assets/76f12a04-01d4-4796-a157-f472dc51f568.png,Noon-EG,78,found_by_name
31,تونه صن شاين قطع دايت,6223000717394,https://f.nooncdn.com/mpcms/EN0003/assets/76f12a04-01d4-4796-a157-f472dc51f568.png,Noon-EG,78,found_by_name
32,تونه صن شاين مفتت,6223000710050,https://eg.jumia.is/cms/Home_26/Stickybanner/1170D60.png,Jumia-EG,75,found_by_name
37,البحار سردين مغربي,6624000720054,https://eg.jumia.is/cms/Home_26/Stickybanner/1170D60.png,Jumia-EG,75,found_by_name
34,صن شاين ماكريل 350g,6223000710654,https://f.nooncdn.com/mpcms/EN0003/assets/76f12a04-01d4-4796-a157-f472dc51f568.png,Noon-EG,78,found_by_name
35,البحار سردين مغربي حار,6624000720061,https://eg.jumia.is/cms/Home_26/Stickybanner/1170D60.png,Jumia-EG,75,found_by_name
