product_id,product_name,barcode,image_url,source,confidence,remote_name,status
102,عسل امتنان 450g,6221078011277,,,0,,not_found
103,عسل امتنان250g نواره,6221078011192,,,0,,not_found
105,عسل امتنان 250g زهور,6221078111199,,,0,,not_found
101,عسل امتنان 800g عرض,6221078003463,,,0,,not_found
106,عسل امتنان 125g نواره,6221078766092,,,0,,not_found
108,عسل الرحيق المختوم 1kg عرض,6772504469846,,,0,,not_found
109,عسل الرحيق المختوم 500g,6772504469013,,,0,,not_found
107,عسل امتنان 125gزهور,6221078766108,,,0,,not_found
112,عسل الرحيق المختوم 380g مكسرات,6333002100305,,,0,,not_found
111,عسل الرحيق المختوم 170g,6772504469273,,,0,,not_found
113,مايونيز هاينز 310g,6221033177314,,,0,,not_found
110,عسل الرحيق المختوم 250g,6772504469006,,,0,,not_found
115,برطمان صلصه هاينز,6221033000636,,,0,,not_found
114,هريسه هاينز,6221033171176,,,0,,not_found
117,عسل ابيض جنه,6221078021184,,,0,,not_found
120,صلصه روسو 380g,6224000365417,,,0,,not_found
118,صلصه روسو 800g,6224000365752,,,0,,not_found
116,صلصه بيتزا هاينز,6221033127319,,,0,,not_found
125,صلصه هارفست 800g,6223001061168,,,0,,not_found
124,صلصه هارفست 375g,6223001060895,,,0,,not_found
127,صلصه احفادنا 400g,6224008233411,,,0,,not_found
126,صلصه هاينز 135g,6221033111110,,,0,,not_found
129,كورند بيف اكستير,7899567248665,,,0,,not_found
130,لانشون بقري بوردن,7899567248351,,,0,,not_found
131,ماشروم شرائح 425g,6223003395872,,,0,,not_found
137,فول امريكانا بالطحينه,032894022141,https://images.openfoodfacts.org/images/products/003/289/402/2141/front_el.3.400.jpg,OpenFoodFacts,95,Fava Beans With Tahini,found
139,فول امريكانا ساده,032894022011,,,0,,not_found
132,ماشروم توليدو قطع 800g,6211101147011,,,0,,not_found
133,كمبوت خوخ 820g,6211101813015,,,0,,not_found
128,بيف مارجن,6224000638764,,,0,,not_found
134,فاصوليا حمراء امريكانا,032894022240,,,0,,not_found
138,فول امريكانا بالفلفل الحار,032894022189,,,0,,not_found
136,حمص مسلوق امريكانا,032894021656,,,0,,not_found
135,ذره حلوه امريكانا,6222027800058,,,0,,not_found
140,فول امريكانا ساده,032894022011,https://images.openfoodfacts.org/images/products/003/289/402/2011/front_en.26.400.jpg,OpenFoodFacts,95,Americana plain fava beans,found
145,زيت هديه 1لتر,6222000507233,,,0,,not_found
142,زيت حلوة 1لتر,6223000264010,,,0,,not_found
141,فول هارفست,6223001062547,,,0,,not_found
148,زيت شطاره 1 لتر,6224007421826,,,0,,not_found
147,زيت هنادي 1لتر,6223000263372,,,0,,not_found
143,زيت الممتاز 1لتر,6222000507301,,,0,,not_found
149,زيت صني 700مل,6223001358961,,,0,,not_found
144,زيت قليه 1 لتر,6222000512084,,,0,,not_found
151,زيت الممتاز نور,3574661093864,,,0,,not_found
154,زيت كريستال دوار 700مل,6222000579896,,,0,,not_found
150,زيت الممتاز الذهبي,6625000432015,,,0,,not_found
155,سبرتو لاروز,6225000032989,,,0,,not_found
153,زيت كريستال ذرة 700مل,6222000579872,,,0,,not_found
152,زيت هلا900مل,6222000500838,,,0,,not_found
156,ماء ورد لاروز,6225000032965,,,0,,not_found
158,خل هاينز,6221033175914,,,0,,not_found
160,ارز طعم البيوت 1KG,6224008207009,,,0,,not_found
157,خل لاروز,6225000032927,,,0,,not_found
159,ارز الست الغاليه1KG,6224008207023,,,0,,not_found
166,مكرونه روجينا 1ك شعريه,6221022150281,,,0,,not_found
164,ارز الساعه 1KG,6224001074004,,,0,,not_found
163,ارز حكايه 1KG,6223561498237,,,0,,not_found
167,مكرونه روجينا 1ك مرمريه,6221022150403,,,0,,not_found
168,مكرونه روجينا 1ك خواتم,6221022150427,,,0,,not_found
169,مكرونه روجينا 1ك فرن,6221022150458,,,0,,not_found
162,ارز الضحي 1KG,6223000660010,,,0,,not_found
171,مكرونه روجينا 400g مرمريه,6221022110407,,,0,,not_found
170,مكرونه روجينا 1ك اسباجتي,6221022150021,,,0,,not_found
173,مكرونه روجينا 400g لسان,6221022110339,,,0,,not_found
172,مكرونه روجينا 400g فرن,6221022110452,,,0,,not_found
175,مكرونه روجينا 400g اسباجتي,6221022110025,,,0,,not_found
176,مكرونه ايطاليانو 400g اسباجتي,6223001510000,,,0,,not_found
177,مكرونه ايطاليانو 400g شرايط,6223001510772,,,0,,not_found
174,مكرونه روجينا 400g شرايط,6221022110216,,,0,,not_found
179,مكرونه ايطاليانو 400g فرن,6223001510314,,,0,,not_found
178,مكرونه ايطاليانو 400g فرن,6223001510314,,,0,,not_found
180,مكرونه ايطاليانو 400g سيربنتيني,6223001510826,,,0,,not_found
182,مكرونه ايطاليانو 400g خواتم,6223001510833,,,0,,not_found
186,مكرونه الملكه 1ك شعريه,6223001510451,,,0,,not_found
183,مكرونه ايطاليانو 400g سوسته,6223001510819,,,0,,not_found
184,مكرونه ايطاليانو 400g مرمريه,6223001510109,,,0,,not_found
181,مكرونه ايطاليانو 400g صدفه,6223001510802,,,0,,not_found
188,مكرونه الملكه 1ك اسباجتي,6223001510499,,,0,,not_found
187,مكرونه الملكه 1ك مرمريه,6223001510031,,,0,,not_found
189,مكرونه الملكه 1ك خواتم,6223001512578,,,0,,not_found
191,مكرونه الملكه 1ك هلاليه,6223001512677,,,0,,not_found
192,مكرونه الملكه 400g لازانيا,6223001513339,,,0,,not_found
193,مكرونه الملكه 400g لسان,6223001512301,,,0,,not_found
194,مكرونه الملكه 400g شعريه,6223001514541,,,0,,not_found
190,مكرونه الملكه 1ك فرن,6223001512653,,,0,,not_found
196,مكرونه الملكه 400gهلاليه,6223001510659,,,0,,not_found
195,مكرونه الملكه 400g شعريه,6223001512257,,,0,,not_found
198,مكرونه الملكه 400g خواتم,6223001512158,,,0,,not_found
197,مكرونه الملكه400gمرمريه,6223001512479,,,0,,not_found
200,مكرونه الملكه 400g اسباجتي,6223001514565,,,0,,not_found
201,مكرونه الملكه 400g اسباجتي,6223001512530,,,0,,not_found
206,فيتراك مانجو مركز,6221024120107,https://images.openfoodfacts.org/images/products/622/102/412/0107/front_en.3.400.jpg,OpenFoodFacts,95,Mango juice concentrate,found
202,مكرونه حواء 400g فرن,6224008559016,,,0,,not_found
199,مكرونه الملكه 400g فرن,6223001512509,,,0,,not_found
204,فيتراك شربات فراوله,6221024120213,,,0,,not_found
203,فيتراك شربات ورد,6221024120169,,,0,,not_found
207,سمنه اصل الحلوب700g,6225000028203,,,0,,not_found
208,ورق عنب دره,6210241121165,,,0,,not_found
209,ورق عنب شومان,6224000280055,,,0,,not_found
205,فيتراك سيرب نعناع,6221024120268,,,0,,not_found
211,شاي العروسه خرز 250g,6222002300047,,,0,,not_found
210,شاي ليبتون خرز 250g,8720608632671,,,0,,not_found
219,شاي الكابوس 100g,6253505460341,https://images.openfoodfacts.org/images/products/625/350/546/0341/front_en.4.400.jpg,OpenFoodFacts,95,Al kbous tea,found
213,شاي ليبتون 250g,5063305009548,,,0,,not_found
212,شاي الكابوس 250g عرض,6253505463274,,,0,,not_found
215,شاي الورده250جم  10% زياده,6224003259034,,,0,,not_found
216,شاي الورده 250g,6224003259034,,,0,,not_found
217,شاي العروسه 250g,6222002300030,,,0,,not_found
214,شاي ليبتون 250g,5063305012319,,,0,,not_found
218,شاي الربيع ناعم 250g,6281013165090,,,0,,not_found
220,شاي الورده 250g خشن,6224003259058,,,0,,not_found
222,شاي الغزالين250g خشن,5014176004927,,,0,,not_found
223,شاي الغزالين 250g اخضر,4796002516507,,,0,,not_found
221,شاي الورده 100g  خشن,6224003259041,,,0,,not_found
225,شاس السفينه 250g خشن,4791003270571,,,0,,not_found
231,شاي ليبتون اخضر بالنعناع 25فتله,8720608632855,https://images.openfoodfacts.org/images/products/872/060/863/2855/front_en.3.400.jpg,OpenFoodFacts,95,Green tea,found
226,شاي بسمه 250g خشن,4796027555178,,,0,,not_found
224,شاي الزهره 250gخشن,6224003259119,,,0,,not_found
227,شاي ربيع 25فتله,6281013233003,,,0,,not_found
228,شاي ربيع 25فتله الاثقل,6281013222342,,,0,,not_found
230,شاي اخضر  ليبتون 25 فتله,5063305001788,,,0,,not_found
232,شاي احمدتي 25فتله,054881011181,,,0,,not_found
233,شاي احمدتي 25فتله,054881011181,,,0,,not_found
229,شاي ليبتون 25 فتله,8720608632718,,,0,,not_found
235,شاي ربيع 100فتله العرض,6281013231009,,,0,,not_found
234,شاي احمد تي 250g,054881014205,,,0,,not_found
237,شاي ليبتون 100فتله,8720608632701,,,0,,not_found
236,شاي ربيع 100فتله العرض,6281013231009,,,0,,not_found
239,اعشاب ايزيس قرفه,6223000470046,,,0,,not_found
241,اعشاب ايزيس ينسون,6223000470015,,,0,,not_found
240,اعشاب ايزيس كراويه,6223000470022,,,0,,not_found
238,شاي ليبتون 100فتله عرض,5063305012630,,,0,,not_found
243,اعشاب ايزيس نعناع,6223000470060,,,0,,not_found
242,اعشاب ايزيس كركديه,6223000470053,,,0,,not_found
245,اعشاب ايزيس ليمون زنجبيل,6223000477038,,,0,,not_found
244,ايزيس بقدونس وكرفس 12فتله,6222003005125,,,0,,not_found
247,اعشاب ايزيس تيليو,6223000470077,,,0,,not_found
248,نعناع ايزيس فندقي,6223000474761,,,0,,not_found
249,كركديه ايزيس فندقي,6223000474730,,,0,,not_found
246,اعشاب ايزيس بابونج,6223000470039,,,0,,not_found
251,دريم شيكولاته خام-غامق,6223003942946,,,0,,not_found
250,ينسون ايزيس فندقي,6223000474754,,,0,,not_found
253,دريم كريم شانتيه,6223001086017,,,0,,not_found
255,دريم كريم شانتيه-شيكولاته,6223003942717,,,0,,not_found
254,دريم كريم شانتيه-فراوله,6223003942618,,,0,,not_found
252,دريم شيكولاته خام-ابيض,6223003943158,,,0,,not_found
257,دريم كريم شانتيه180g,6223003943196,,,0,,not_found
256,دريم كريم شانتيه-كريمه لباني,6223003941246,,,0,,not_found
265,دريم كريم كراميل,6223001086116,https://images.openfoodfacts.org/images/products/622/300/108/6116/front_en.3.400.jpg,OpenFoodFacts,95,كريم كراميل,found
259,دريم ايسي شيكولاته,6223001085928,,,0,,not_found
258,دريم ايسي فانيليا,6223001085911,,,0,,not_found
262,دريم جيلي تفاح,6223003942526,,,0,,not_found
261,دريم جيلي كريز,6223001089148,,,0,,not_found
263,دريم جيلي مانجو,6223001089070,,,0,,not_found
260,دريم  جيلي فراوله,6223001085010,,,0,,not_found
264,جيلي دريم كولا وكريز,6223003942915,,,0,,not_found
267,دريم جيلي مشمش,6223001085027,,,0,,not_found
268,تونه صن شاين قطع حار,6223000719206,,,0,,not_found
266,دريم كريم كراميل 2×1,6223003940287,,,0,,not_found
270,بن عبدالمعبود ساده فاتح 100g,6223000111024,,,0,,not_found
269,حلاوه سبريد شيكولاته,6223000760369,,,0,,not_found
272,نسكافيه بلاك 48g,6221007041856,,,0,,not_found
271,بن عبد المعبود محوج فاتح 125g,6223000111147,,,0,,not_found
274,نسكافيه بلاك 190g,6221007041818,,,0,,not_found
273,نسكافيه بلاك 95g,6221007041832,,,0,,not_found
278,بن احمد الشيخ 50g,6224011854047,,,0,,not_found
276,بن عبدالمعبود غامق 125g,6223000111048,,,0,,not_found
277,بن احمد الشيخ 250g,6224011854023,,,0,,not_found
275,نسكافيه جولد 48g,8445290212863,,,0,,not_found
280,ابو عوف جولد 50g,6223004760211,,,0,,not_found
279,ابو عوف كلاسيك 50g,6223004760204,,,0,,not_found
282,بن عوف ساده وسط 200g,6223004761751,,,0,,not_found
281,بن عوف ساده فاتح 200g,6223006313583,,,0,,not_found
284,بن عوف محوج وسط200g,6223004765537,,,0,,not_found
285,بن عوف ساده فاتح 100g,6223006312623,,,0,,not_found
286,بن عوف ساده وسط 100g,6223006312609,,,0,,not_found
283,بن عوف محوج فاتح 200g,6223006313569,,,0,,not_found
288,بن عوف محوج وسط 100g,6223006312579,,,0,,not_found
287,بن عوف محوج فاتح100g,6223006312586,,,0,,not_found
290,بن عوف ساده فاتح 50g,6223006318397,,,0,,not_found
291,بن عوف ساده وسط 50g,6223006318403,,,0,,not_found
289,بن عوف فرنساوي 100g,6223006318434,,,0,,not_found
293,بن سليمان ساده فاتح 125g,9614001068061,,,0,,not_found
292,بن عوف محوج وسط,6223006318373,,,0,,not_found
296,بن عبد المعبود مجوج غامق 125g,6223000111116,,,0,,not_found
295,بن فكاكيس 50g,6224007511022,,,0,,not_found
294,بن فكاكيس 125g,6224007511008,,,0,,not_found
300,كنور فيجتار بروست حار,6221155213396,,,0,,not_found
299,قهوة خضراء احمدالشيخ,6225000066212,,,0,,not_found
301,كنور فيجتار بروست,6221155197306,,,0,,not_found
302,بقسماط مطحون ريتش بيك 200g,6223000433003,,,0,,not_found
298,كرسبي ماي واي حار350g,9191,,,0,,not_found
297,كرسبي ماي واي 350g,9193,,,0,,not_found
303,بقسماط مطحون ريتش بيك 400g,6223000433027,,,0,,not_found
304,بقسماط كريسبي ريتش بيك,6223000432280,,,0,,not_found
306,بسبوسه جوزهند حلو الشام,6223000420416,,,0,,not_found
305,بقسماط مطحون ايزي كوك,6224000992736,,,0,,not_found
307,سحلب حلو الشام,6223000420027,,,0,,not_found
311,بنجورنو كابتشيبنو ايس سبانش لاتيه,6221007041887,,,0,,not_found
309,بنجورنو كابتشيبنو بندق,6221007038306,,,0,,not_found
308,بنجورنو كابتشيبنو فانيليا,6221007038337,,,0,,not_found
312,بنجورنو كابتشيبنو لاتيه,6221007038399,,,0,,not_found
313,بنجورنو كابتشيبنو موكا,6221007038368,,,0,,not_found
314,نسكافيه جولد 3×1  ريتش,6221007018179,,,0,,not_found
317,نسكافيه جولد 3×1 كلاسيك,6221007022190,,,0,,not_found
316,نسكافيه جولد 3×1 ميلكي,6221007030669,,,0,,not_found
320,نسكافيه 3×1بندق,6221007028055,,,0,,not_found
322,نسكافيه 3×1كراميل,6221007028116,,,0,,not_found
318,نسكافيه 3×1 كلاسيك,6221007028024,,,0,,not_found
324,نسكافيه 2×1 كلاسيك,6221007031079,,,0,,not_found
323,نسكافيه 3×1 شيكولاته,6221007028086,,,0,,not_found
326,نيدو 100g,6221007040743,,,0,,not_found
327,نسكويك 135g,6221007043423,,,0,,not_found
334,كوفي مكس,6221007034940,https://images.openfoodfacts.org/images/products/622/100/703/4940/front_en.3.400.jpg,OpenFoodFacts,95,بونجورنو,found
328,نسكافيه بلاك,6221007005117,,,0,,not_found
325,نسكويك ظرف 13.5g,6221007020981,,,0,,not_found
330,ابو عوف ظرف جولد,6223006313941,,,0,,not_found
329,ابوعوف ظرف  كلاسيك,6223006313958,,,0,,not_found
332,ابو عوف 2×1,6223006313927,,,0,,not_found
331,ابوعوف2×1,6223006313934,,,0,,not_found
335,كوفي بريك,6223000276532,,,0,,not_found
336,دريم كاكاو خام,6223003942649,,,0,,not_found
337,كاكاو كرونا,6221073000016,,,0,,not_found
333,كوفي مكس خمسينه,6772504392625,,,0,,not_found
339,مرقه دجاج كنور 8مكعب,6221155607751,,,0,,not_found
338,كابتشينو مزاجو,6221007044307,,,0,,not_found
