product_id,product_name,image_url,status
59,البوادي مربي فراوله 350g,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6223000762462-650g.jpg,found
61,البوادي مربي مشمش680g,http://multicst.com/cdn/i/41241046afebee9ed9fcd61d89097b8e/4.jpg,found
55,فيتراك مربي فراوله 850g,https://mcprod.hyperone.com.eg/media/catalog/product/cache/1ca275941aea0ae98b372dcb44b7c67a/6/2/6221024050015vitrac_strawberry_850g_nn_.jpg,found
60,البوادي مربي  تين 365g,https://www.alkhan-mart.com/images/thumbs/0005148_-365-_450.jpeg,found
64,البوادي حلاوه سبريد 300g,https://imgv2-2-f.scribdassets.com/img/document/730856495/original/d42ffd04c8/1?v=1,found
62,البوادي مربي تين 680g,http://oxygen-mart.com/cdn/shop/files/a06554bef2c9e6f105897fc8e7987b0d.jpg?v=1728495430,found
69,حلاوه حلواني فسدق 250g,https://media.zid.store/thumbs/3a3b6b8f-fcb5-45e3-9a9c-59dc20b95d45/b39d02b8-9366-4166-9b35-fbcde0d256c3-thumbnail-770x770.png,found
68,حلاوه حلواني لوز 250g,https://wootfi.com/wp-content/uploads/2025/10/image-469.png,found
63,البوادي مربي فراوله 680g,https://www.elmezantrade.com/wp-content/uploads/2023/11/330.jpg,found
66,حلاوه حلواني 575g,https://cdnprod.mafretailproxy.com/sys-master-root/h98/hd5/14854111887390/34422_main.jpg_480Wx480H,found
70,حلاوه حلواني لايت 250g,https://cdn.mafrservices.com/sys-master-root/he5/hbe/14835109953566/188673_main.jpg?im=Resize=480,found
67,حلاوه حلواني 250g,https://media.zid.store/thumbs/3a3b6b8f-fcb5-45e3-9a9c-59dc20b95d45/b39d02b8-9366-4166-9b35-fbcde0d256c3-thumbnail-770x770.png,found
