product_id,product_name,barcode,image_url,source,confidence,status
22,مثلث لافاش8ق,3073781205114,https://images.openfoodfacts.org/images/products/307/378/120/5114/front_es.4.400.jpg,OpenFoodFacts-BC,97,found
20,مثلث ميلكانا سبورتي 8ق,6223001080954,,,0,not_found
23,مثلث لافاش 16ق,,,,0,not_found
24,مثلث مزارع دينا 8ق,6224000432201,https://images.openfoodfacts.org/images/products/622/400/043/2201/front_en.4.400.jpg,OpenFoodFacts-BC,97,found
21,مثلث ميلكانا 8ق,6223001080008,,,0,not_found
27,تونه صن شاين قطع,6223000717431,https://images.openfoodfacts.org/images/products/622/300/071/7431/front_ar.12.400.jpg,OpenFoodFacts-BC,97,found
18,مثلث مراعي 8ق,6281007035378,,,0,not_found
19,مثلث كيري 8ق,3073781129229,,,0,not_found
17,مثلث ميلكانا  سبورتي 32ق,6223001080916,,,0,not_found
32,تونه صن شاين مفتت,6223000710050,https://images.openfoodfacts.org/images/products/622/300/071/0050/front_en.7.400.jpg,OpenFoodFacts-BC,97,found
33,صن شاين ماكريل 145g,6223000710647,https://images.openfoodfacts.org/images/products/622/300/071/0647/front_en.4.400.jpg,OpenFoodFacts-BC,97,found
34,صن شاين ماكريل 350g,6223000710654,https://images.openfoodfacts.org/images/products/622/300/071/0654/front_en.4.400.jpg,OpenFoodFacts-BC,97,found
25,مثلث مزارع دينا 16ق,6224011439442,,,0,not_found
28,تونه صن شاين فصوص,6223000711323,,,0,not_found
31,تونه صن شاين قطع دايت,6223000717394,,,0,not_found
29,تونه صن شاين قطعه واحده,6223000717455,,,0,not_found
30,تونه صن شاين مفتت حار,6223000710067,,,0,not_found
35,البحار سردين مغربي حار,6624000720061,,,0,not_found
37,البحار سردين مغربي,6624000720054,,,0,not_found
43,حلواني مرابي فراوله لايت 340g,6221029670157,https://images.openfoodfacts.org/images/products/622/102/967/0157/front_en.4.400.jpg,OpenFoodFacts-BC,97,found
38,تونه ماريو مفتت,6223000718940,,,0,not_found
45,حلواني مربي مشمش 340g,6221029610115,https://images.openfoodfacts.org/images/products/622/102/961/0115/front_fr.3.400.jpg,OpenFoodFacts-BC,97,found
39,تونه ماريو قطع,6223000718919,,,0,not_found
40,تونه ماريو قطع حار,6223000714805,,,0,not_found
48,حلواني مربي فراوله 340g,6221029600116,https://images.openfoodfacts.org/images/products/622/102/960/0116/front_fr.4.400.jpg,OpenFoodFacts-BC,97,found
41,توليدو سردين مغربي,6211101755018,,,0,not_found
42,انشوجه realmar,8414753300270,,,0,not_found
44,حلواني مربي برتقال لايت 340g,6221029600154,,,0,not_found
46,حلواني مربي تين 340g,6221029620114,,,0,not_found
