product_id,product_name,barcode,old_image_url,new_image_url,source,score,status
1376,مولتو ميني ماجنم ميكس فراوله,6223000552049,,https://images.openfoodfacts.org/images/products/622/300/055/2049/front_es.3.400.jpg,OpenFoodFacts-Barcode,97,resolved
1327,جاجور 10ج,6222035235507,,,,0,not_resolved
1332,بيك رولز 15ج,6223000552100,,http://oxygen-mart.com/cdn/shop/files/6223000493977.png?v=1703492930,DDGS-Image-Search,75,resolved
1333,بيك رولز 20ج,6223000559291,https://www.qebox.app/qebox/wp-content/uploads/2025/12/7.png,https://cdnprod.mafretailproxy.com/sys-master-root/he0/h93/49986563211294/480Wx480H_504068_main.jpg,DDGS-Image-Search,95,resolved
1357,برنش فطيرة سجق,6223003190804,,,,0,not_resolved
1405,مكس الحمد 1ك,6224010237032,,https://aviddarts.com.au/cdn/shop/files/GVV-50-1_5c72abd0-d6d3-46ff-bdda-2d6fca74dac8_600x.jpg?v=1761106981,DDGS-Image-Search,40,resolved
1416,ميكس ريفال 1ك,6772504890022,,https://mcprod.hyperone.com.eg/media/catalog/product/cache/1ca275941aea0ae98b372dcb44b7c67a/7/1/71al6k_hmal._ac_sx522.jpg,DDGS-Image-Search,95,resolved
1419,هوت دوج اطياب 1ك,6224007330968,,https://mcprod.hyperone.com.eg/media/catalog/product/cache/1ca275941aea0ae98b372dcb44b7c67a/6/2/6224000039110_-_1k.jpg,DDGS-Image-Search,95,resolved
1411,موتزريلا الحمد 200جم,6225000321113,,https://dokkan-albalady.com/wp-content/uploads/2022/11/موتزريلا-الحمد.jpeg,DDGS-Image-Search,75,resolved
1420,كفته بدايه,6224000127077,,https://i.pinimg.com/736x/d2/d4/ea/d2d4eab8144146619bead63a3dd9e9d0.jpg,DDGS-Image-Search,40,resolved
1426,فورني مينثي قواعد بيتزا,6223015171051,,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6223015170368.jpg,DDGS-Image-Search,95,resolved
1421,برجر بدايه,6224000127022,,https://pbs.twimg.com/media/Fh12AmkXwAAvm1f.jpg,DDGS-Image-Search,40,resolved
